algorithm,pages,page_count,repetition,payload_characters,payload_bits,serialized_data_bits,codeword_bits,redundancy_bits,overhead_percentage,configured_error_probability_percent,effective_error_probability_percent,configured_average_flips,actual_flips,round_trip_nanoseconds,round_trip_milliseconds,recovered_message_matches,status
CRC32,13,1,20,543,4344,4496,4528,32,0.7117437722419928,0.01,0.0,0,0,4343500,4.3435,True,CLEAN
CRC32,13,1,21,543,4344,4496,4528,32,0.7117437722419928,0.01,0.0,0,0,4354792,4.354792,True,CLEAN
CRC32,13,1,22,543,4344,4496,4528,32,0.7117437722419928,0.01,0.0,0,0,4370375,4.370375,True,CLEAN
CRC32,13,1,23,543,4344,4496,4528,32,0.7117437722419928,0.01,0.0,0,0,4353667,4.353667,True,CLEAN
CRC32,13,1,24,543,4344,4496,4528,32,0.7117437722419928,0.01,0.0,0,0,4333584,4.333584,True,CLEAN
CRC32,13,1,25,543,4344,4496,4528,32,0.7117437722419928,0.01,0.0,0,0,4709167,4.709167,True,CLEAN
CRC32,13,1,26,543,4344,4496,4528,32,0.7117437722419928,0.01,0.0,0,0,4734625,4.734625,True,CLEAN
CRC32,13,1,27,543,4344,4496,4528,32,0.7117437722419928,0.01,0.0,0,0,4559167,4.559167,True,CLEAN
CRC32,13,1,28,543,4344,4496,4528,32,0.7117437722419928,0.01,0.0,0,0,4649417,4.649417,True,CLEAN
CRC32,13,1,29,543,4344,4496,4528,32,0.7117437722419928,0.01,0.0,0,0,4307417,4.307417,True,CLEAN
CRC32,13,1,30,543,4344,4496,4528,32,0.7117437722419928,0.01,0.0,0,0,4308250,4.30825,True,CLEAN
CRC32,13,1,31,543,4344,4496,4528,32,0.7117437722419928,0.01,0.0,0,0,4426875,4.426875,True,CLEAN
CRC32,13,1,32,543,4344,4496,4528,32,0.7117437722419928,0.01,0.0,0,0,4374958,4.374958,True,CLEAN
CRC32,13,1,33,543,4344,4496,4528,32,0.7117437722419928,0.01,0.0,0,0,4445917,4.445917,True,CLEAN
CRC32,13,1,34,543,4344,4496,4528,32,0.7117437722419928,0.01,0.0,0,0,4356250,4.35625,True,CLEAN
CRC32,13,1,35,543,4344,4496,4528,32,0.7117437722419928,0.01,0.0,0,0,4402875,4.402875,True,CLEAN
CRC32,13,1,36,543,4344,4496,4528,32,0.7117437722419928,0.01,0.0,0,0,4304625,4.304625,True,CLEAN
CRC32,13,1,37,543,4344,4496,4528,32,0.7117437722419928,0.01,0.0,0,0,4347750,4.34775,True,CLEAN
CRC32,13,1,38,543,4344,4496,4528,32,0.7117437722419928,0.01,0.0,0,0,4387500,4.3875,True,CLEAN
CRC32,13,1,39,543,4344,4496,4528,32,0.7117437722419928,0.01,0.0,0,0,4370208,4.370208,True,CLEAN
CRC32,13,1,40,543,4344,4496,4528,32,0.7117437722419928,0.01,0.0,0,0,4326958,4.326958,True,CLEAN
CRC32,13,1,41,543,4344,4496,4528,32,0.7117437722419928,0.01,0.0,0,0,4307625,4.307625,True,CLEAN
CRC32,13,1,42,543,4344,4496,4528,32,0.7117437722419928,0.01,0.0,0,0,4355583,4.355583,True,CLEAN
CRC32,13,1,43,543,4344,4496,4528,32,0.7117437722419928,0.01,0.0,0,0,4276042,4.276042,True,CLEAN
CRC32,13,1,44,543,4344,4496,4528,32,0.7117437722419928,0.01,0.0,0,0,4291333,4.291333,True,CLEAN
CRC32,13,1,45,543,4344,4496,4528,32,0.7117437722419928,0.01,0.0,0,0,4360084,4.360084,True,CLEAN
CRC32,13,1,46,543,4344,4496,4528,32,0.7117437722419928,0.01,0.0,0,0,4310083,4.310083,True,CLEAN
CRC32,13,1,47,543,4344,4496,4528,32,0.7117437722419928,0.01,0.0,0,0,4426958,4.426958,True,CLEAN
CRC32,13,1,48,543,4344,4496,4528,32,0.7117437722419928,0.01,0.0,0,0,4387666,4.387666,True,CLEAN
CRC32,13,1,49,543,4344,4496,4528,32,0.7117437722419928,0.01,0.0,0,0,4298542,4.298542,True,CLEAN
CRC32,13,1,50,543,4344,4496,4528,32,0.7117437722419928,0.01,0.0,0,0,4243416,4.243416,True,CLEAN
CRC32,13,1,51,543,4344,4496,4528,32,0.7117437722419928,0.01,0.0,0,0,4307750,4.30775,True,CLEAN
CRC32,13,1,52,543,4344,4496,4528,32,0.7117437722419928,0.01,0.0,0,0,4344333,4.344333,True,CLEAN
CRC32,13,1,53,543,4344,4496,4528,32,0.7117437722419928,0.01,0.0,0,0,4379583,4.379583,True,CLEAN
CRC32,13,1,54,543,4344,4496,4528,32,0.7117437722419928,0.01,0.0,0,0,4287958,4.287958,True,CLEAN
CRC32,13,1,55,543,4344,4496,4528,32,0.7117437722419928,0.01,0.0,0,0,4319125,4.319125,True,CLEAN
CRC32,13,1,56,543,4344,4496,4528,32,0.7117437722419928,0.01,0.0,0,0,4306584,4.306584,True,CLEAN
CRC32,13,1,57,543,4344,4496,4528,32,0.7117437722419928,0.01,0.0,0,0,4300000,4.3,True,CLEAN
CRC32,13,1,58,543,4344,4496,4528,32,0.7117437722419928,0.01,0.0,0,0,4343333,4.343333,True,CLEAN
CRC32,13,1,59,543,4344,4496,4528,32,0.7117437722419928,0.01,0.0,0,0,4377875,4.377875,True,CLEAN
CRC32,13,1,60,543,4344,4496,4528,32,0.7117437722419928,0.01,0.0,0,0,4369958,4.369958,True,CLEAN
CRC32,13,1,61,543,4344,4496,4528,32,0.7117437722419928,0.01,0.0,0,0,4285583,4.285583,True,CLEAN
CRC32,13,1,62,543,4344,4496,4528,32,0.7117437722419928,0.01,0.0,0,0,4318542,4.318542,True,CLEAN
